тип,название,здоровье,СИЛ,ЛОВ,ИНТ,ВЫН,Земля,Огонь,Яд,Вода
базовый,Деталь,0,0,0,0,0,0,0,0,0
базовый,Флакон Внезапной Силы,0,0,0,0,0,0,0,0,0
базовый,Кристалл Жизни,0,0,0,0,0,0,0,0,0
базовый,Еда,5,0,0,0,0,0,0,0,0
базовый,Вода,5,0,0,0,0,0,0,0,0
базовый,Аптечка,10,0,0,0,0,0,0,0,0
базовый,Ловушка,-3,0,0,0,0,0,0,0,0
артефакт,Сапоги Странника Пустоты,0,15,0,0,15,0,0,0,0
артефакт,Браслет Искра Меркурия,0,0,15,10,0,0,0,0,0
артефакт,Кольцо Огнестойкости,0,0,0,0,0,0,15,0,0
артефакт,Амулет Ядостойкости,0,0,0,0,0,0,0,15,0
артефакт,Перчатки Землестойкости,0,0,0,0,0,15,0,0,0
артефакт,Гидрофобный плащ,0,0,0,0,0,0,0,0,15
